Entity,Code,Year,Annual sea surface temperature anomalies,Annual sea surface temperature anomalies (lower bound),Annual sea surface temperature anomalies (upper bound)
Southern Hemisphere,,1957,0.25345612,0.18295044,0.33040366
Southern Hemisphere,,1958,0.2030248,0.13194011,0.29107437
Southern Hemisphere,,1959,0.19336379,0.12913832,0.2830168
Southern Hemisphere,,1960,0.15175684,0.08812996,0.22492407
Southern Hemisphere,,1961,0.23835902,0.18906252,0.31232685
Southern Hemisphere,,1962,0.1772964,0.13028537,0.2388072
Southern Hemisphere,,1963,0.18073851,0.13551192,0.24270336
Southern Hemisphere,,1964,-0.03828205,-0.08175448,0.017987872
Southern Hemisphere,,1965,0.059321005,0.01580164,0.11246756
Southern Hemisphere,,1966,0.08178802,0.036382686,0.13232055
Southern Hemisphere,,1967,0.023307981,-0.015752554,0.06477221
Southern Hemisphere,,1968,0.06471855,0.03247835,0.102171764
Southern Hemisphere,,1969,0.33139443,0.3028822,0.3660564
Southern Hemisphere,,1970,0.20470843,0.17936085,0.23413871
Southern Hemisphere,,1971,0.08530423,0.06137703,0.11073367
Southern Hemisphere,,1972,0.3822262,0.35957646,0.4052108
Southern Hemisphere,,1973,0.3902011,0.36871424,0.41590035
Southern Hemisphere,,1974,0.2182402,0.19563743,0.24104042
Southern Hemisphere,,1975,0.20601863,0.18034837,0.2292571
Southern Hemisphere,,1976,0.23780085,0.21304822,0.2600885
Southern Hemisphere,,1977,0.43933624,0.41663325,0.4599615
Southern Hemisphere,,1978,0.34008026,0.31633237,0.360847
Southern Hemisphere,,1979,0.4773545,0.45396212,0.4957554
Southern Hemisphere,,1980,0.4651419,0.44080883,0.48298207
Southern Hemisphere,,1981,0.4127717,0.38736308,0.4300838
Southern Hemisphere,,1982,0.40723848,0.3818762,0.4244901
Southern Hemisphere,,1983,0.5551278,0.5294437,0.57366955
Southern Hemisphere,,1984,0.43025115,0.40416545,0.44976866
Southern Hemisphere,,1985,0.4365911,0.41151506,0.45603624
Southern Hemisphere,,1986,0.42259783,0.39810878,0.44301352
Southern Hemisphere,,1987,0.57721776,0.5524878,0.5989061
Southern Hemisphere,,1988,0.5268435,0.5019868,0.5475208
Southern Hemisphere,,1989,0.46659172,0.44076768,0.488083
Southern Hemisphere,,1990,0.54454255,0.5186234,0.5679384
Southern Hemisphere,,1991,0.55587775,0.529474,0.5792002
Southern Hemisphere,,1992,0.48409474,0.45713937,0.50688183
Southern Hemisphere,,1993,0.5312259,0.50338244,0.55424947
Southern Hemisphere,,1994,0.48194566,0.45266524,0.50550056
Southern Hemisphere,,1995,0.52615505,0.49613744,0.5490882
Southern Hemisphere,,1996,0.5307165,0.500007,0.5522183
Southern Hemisphere,,1997,0.67795366,0.6469607,0.7018081
Southern Hemisphere,,1998,0.77906257,0.7470439,0.80188656
Southern Hemisphere,,1999,0.54618716,0.5157894,0.5690009
Southern Hemisphere,,2000,0.53061223,0.50119215,0.55487
Southern Hemisphere,,2001,0.65317404,0.62480956,0.67738926
Southern Hemisphere,,2002,0.7056381,0.6774553,0.7289049
Southern Hemisphere,,2003,0.684171,0.65609837,0.706528
Southern Hemisphere,,2004,0.62920135,0.6009561,0.6510339
Southern Hemisphere,,2005,0.6457948,0.6186171,0.6669985
Southern Hemisphere,,2006,0.6398485,0.6128427,0.6606118
Southern Hemisphere,,2007,0.5678158,0.5399405,0.5887514
Southern Hemisphere,,2008,0.54234666,0.515305,0.5640924
Southern Hemisphere,,2009,0.7442789,0.71705735,0.7663005
Southern Hemisphere,,2010,0.7234703,0.69636905,0.74515533
Southern Hemisphere,,2011,0.6437464,0.6155193,0.6656259
Southern Hemisphere,,2012,0.6769839,0.6487459,0.69942397
Southern Hemisphere,,2013,0.6907815,0.6618278,0.71353424
Southern Hemisphere,,2014,0.74400884,0.7161947,0.76596874
Southern Hemisphere,,2015,0.85761034,0.83038944,0.87699926
Southern Hemisphere,,2016,0.9029565,0.87537056,0.92134523
Southern Hemisphere,,2017,0.8221746,0.79496574,0.84104604
Southern Hemisphere,,2018,0.7981994,0.7704572,0.81626654
Southern Hemisphere,,2019,0.85454375,0.82720643,0.8730208
Southern Hemisphere,,2020,0.78311497,0.7557457,0.8009211
Southern Hemisphere,,2021,0.7707236,0.74320865,0.78832895
Southern Hemisphere,,2022,0.8256906,0.7967684,0.8438481
Southern Hemisphere,,2023,1.074629,1.045252,1.0938783
Southern Hemisphere,,2024,1.0645921,1.0356272,1.0844043
Southern Hemisphere,,2025,1.0947194,1.0641237,1.1120157
World,OWID_WRL,1850,-0.034500163,-0.10135727,0.013704068
World,OWID_WRL,1851,0.08124678,0.01698325,0.13086516
World,OWID_WRL,1852,0.08944216,0.029734237,0.13770182
World,OWID_WRL,1853,0.061731562,0.009362417,0.10752623
World,OWID_WRL,1854,0.002414416,-0.048582852,0.04686209
World,OWID_WRL,1855,0.030011898,-0.018945586,0.07485215
World,OWID_WRL,1856,-0.033830654,-0.08078821,0.0093377745
World,OWID_WRL,1857,-0.1566196,-0.2004416,-0.116253614
World,OWID_WRL,1858,-0.13255432,-0.17296763,-0.09071692
World,OWID_WRL,1859,-0.0085761035,-0.047926333,0.031638168
World,OWID_WRL,1860,0.03284046,-0.0031418079,0.071202114
World,OWID_WRL,1861,-0.0945001,-0.12946993,-0.05568188
World,OWID_WRL,1862,-0.12824263,-0.16037019,-0.09057807
World,OWID_WRL,1863,-0.05919637,-0.09153939,-0.02154413
World,OWID_WRL,1864,-0.09956113,-0.13005538,-0.06215714
World,OWID_WRL,1865,0.055906262,0.026162209,0.091786
World,OWID_WRL,1866,0.061885983,0.030710202,0.0994944
World,OWID_WRL,1867,0.063389376,0.035609234,0.098535046
World,OWID_WRL,1868,0.052943435,0.025025748,0.087288946
World,OWID_WRL,1869,-0.015384891,-0.04532839,0.01910756
World,OWID_WRL,1870,0.043208767,0.014780159,0.0780254
World,OWID_WRL,1871,0.037728056,0.010100952,0.06900009
World,OWID_WRL,1872,0.024498286,-0.002488769,0.0577749
World,OWID_WRL,1873,-0.026061285,-0.053381238,0.0041346345
World,OWID_WRL,1874,-0.12390001,-0.15059575,-0.09319008
World,OWID_WRL,1875,0.027729858,-0.0029659555,0.06317435
World,OWID_WRL,1876,-0.077401705,-0.10817877,-0.042970426
World,OWID_WRL,1877,0.24258348,0.21044165,0.2762065
World,OWID_WRL,1878,0.26287317,0.2325432,0.29988775
World,OWID_WRL,1879,0.07010105,0.036241528,0.10597653
World,OWID_WRL,1880,0.0649426,0.027822504,0.09993355
World,OWID_WRL,1881,0.11592282,0.07875293,0.1540327
World,OWID_WRL,1882,0.052969337,0.0100103915,0.091353886
World,OWID_WRL,1883,0.020282824,-0.01875934,0.055879127
World,OWID_WRL,1884,-0.086793445,-0.12762189,-0.05042867
World,OWID_WRL,1885,-0.07182676,-0.113131344,-0.033105824
World,OWID_WRL,1886,-0.08561159,-0.12955503,-0.04555884
World,OWID_WRL,1887,-0.15478048,-0.20413692,-0.11462899
World,OWID_WRL,1888,0.016383518,-0.032362405,0.05444411
World,OWID_WRL,1889,0.10028435,0.051467374,0.14238355
World,OWID_WRL,1890,-0.16932338,-0.22211789,-0.1254678
World,OWID_WRL,1891,-0.0103076985,-0.06376136,0.03351406
World,OWID_WRL,1892,-0.15132311,-0.2066552,-0.10685383
World,OWID_WRL,1893,-0.14623038,-0.20595942,-0.099737525
World,OWID_WRL,1894,-0.1703185,-0.23070157,-0.1273924
World,OWID_WRL,1895,-0.08120604,-0.14536387,-0.029303212
World,OWID_WRL,1896,0.1126564,0.047797628,0.16606493
World,OWID_WRL,1897,0.067424886,0.0016309991,0.11794127
World,OWID_WRL,1898,-0.16708775,-0.23731539,-0.11219138
World,OWID_WRL,1899,-0.044148095,-0.11571171,0.011191939
World,OWID_WRL,1900,0.035545267,-0.036664046,0.0916388
World,OWID_WRL,1901,-0.09147878,-0.16636245,-0.034064144
World,OWID_WRL,1902,-0.1798142,-0.25909856,-0.11868665
World,OWID_WRL,1903,-0.30093473,-0.3832842,-0.23880595
World,OWID_WRL,1904,-0.33072335,-0.41337445,-0.26456138
World,OWID_WRL,1905,-0.16349627,-0.24785237,-0.10295706
World,OWID_WRL,1906,-0.11152341,-0.20106618,-0.04199232
World,OWID_WRL,1907,-0.2015372,-0.2657935,-0.13058987
World,OWID_WRL,1908,-0.30655393,-0.35380766,-0.23382455
World,OWID_WRL,1909,-0.32602587,-0.36286756,-0.2568187
